,cash_on_hand_end_period,party_full,candidate_name,total_receipts,coverage_end_date,committee_ids,incumbent_challenge_full,candidate_pcc_id,candidate_election_year,total_disbursements,candidate_id,candidate_pcc_name
0,323317.48,DEMOCRATIC PARTY,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",585699061.27,2016-12-31T00:00:00,"['C00431569', 'C00575795']",Open seat,C00575795,2016,585580576.76,P00003392,HILLARY FOR AMERICA
1,7611702.92,REPUBLICAN PARTY,"TRUMP, DONALD J. / MICHAEL R. PENCE ",350668435.7,2016-12-31T00:00:00,['C00580100'],Open seat,C00580100,2016,343056732.78,P80001571,"DONALD J. TRUMP FOR PRESIDENT, INC."
2,5455167.9,DEMOCRATIC PARTY,"SANDERS, BERNARD",237640609.52,2016-12-31T00:00:00,['C00577130'],Open seat,C00577130,2016,232185441.62,P60007168,BERNIE 2016
3,33851.52,REPUBLICAN PARTY,"CRUZ, RAFAEL EDWARD ""TED""",94338654.84,2016-12-31T00:00:00,['C00574624'],Open seat,C00574624,2016,94304803.32,P60006111,CRUZ FOR PRESIDENT
4,560750.51,REPUBLICAN PARTY,"CARSON, BENJAMIN S SR MD",65091035.97,2016-12-31T00:00:00,['C00573519'],Open seat,C00573519,2016,64530285.46,P60005915,CARSON AMERICA
5,112614.3,REPUBLICAN PARTY,"RUBIO, MARCO",48331861.99,2016-12-31T00:00:00,['C00458844'],Open seat,C00458844,2016,51557701.76,P60006723,MARCO RUBIO FOR PRESIDENT
6,55306.05,REPUBLICAN PARTY,"BUSH, JEB",35491191.48,2016-12-31T00:00:00,['C00579458'],Open seat,C00579458,2016,35435885.43,P60008059,"JEB 2016, INC."
7,158566.66,REPUBLICAN PARTY,"KASICH, JOHN R",19692691.23,2016-12-31T00:00:00,['C00581876'],Open seat,C00581876,2016,19534124.57,P60003670,"KASICH FOR AMERICA, INC."
8,6492.92,REPUBLICAN PARTY,"PAUL, RAND",12458992.11,2016-12-31T00:00:00,['C00575449'],Open seat,C00575449,2016,12452499.19,P40003576,FREEDOM FOR ALL AMERICANS
9,799587.44,REPUBLICAN PARTY,"FIORINA, CARLY",12211897.41,2016-12-31T00:00:00,['C00577312'],Open seat,C00577312,2016,11412309.97,P60007242,CARLY FOR PRESIDENT
10,6299.61,LIBERTARIAN PARTY,"JOHNSON, GARY / WILLIAM ""BILL"" WELD",12193984.08,2016-12-31T00:00:00,"['C00495622', 'C00605568']",Open seat,C00605568,2016,12463110.51,P20002671,GARY JOHNSON 2016
11,127251.43,GREEN PARTY,"STEIN, JILL",11499548.55,2016-12-31T00:00:00,"['C00505800', 'C00581199']",Open seat,C00581199,2016,11513810.03,P20003984,JILL STEIN FOR PRESIDENT
12,71869.96,REPUBLICAN PARTY,"WALKER, SCOTT",9509870.81,2016-12-31T00:00:00,['C00580480'],Open seat,C00580480,2016,9438000.85,P60006046,SCOTT WALKER INC
13,27656.58,REPUBLICAN PARTY,"CHRISTIE, CHRISTOPHER J",8770288.76,2016-12-31T00:00:00,['C00580399'],Open seat,C00580399,2016,8742632.18,P60008521,CHRIS CHRISTIE FOR PRESIDENT INC
14,1046.08,DEMOCRATIC PARTY,"DE  LA  FUENTE, ROQUE ROCKY",8075959.73,2016-12-31T00:00:00,['C00588426'],Open seat,C00588426,2016,8074913.65,P60016342,ROCKY 101 LLC
15,92368.71,DEMOCRATIC PARTY,"O'MALLEY, MARTIN JOSEPH",6377550.42,2016-12-31T00:00:00,['C00578658'],Open seat,C00578658,2016,6285181.71,P60007671,O'MALLEY FOR PRESIDENT
16,0.0,REPUBLICAN PARTY,"GRAHAM, LINDSEY O",6010010.2,2016-09-20T00:00:00,['C00578757'],Open seat,C00578757,2016,6010010.2,P60007697,LINDSEY GRAHAM 2016
17,5557.58,REPUBLICAN PARTY,"HUCKABEE, MIKE",4335975.38,2016-12-31T00:00:00,['C00577981'],Open seat,C00577981,2016,4330417.8,P80003478,"HUCKABEE FOR PRESIDENT, INC."
18,110242.76,REPUBLICAN PARTY,"SANTORUM, RICHARD J.",2296044.14,2016-12-31T00:00:00,"['C00496034', 'C00578492']",Open seat,C00578492,2016,2312075.09,P20002721,SANTORUM FOR PRESIDENT 2016
