,candidate_election_year,candidate_id,candidate_name,party_full,total_receipts,total_disbursements,cash_on_hand_end_period,key
0,2000,P00003335,GEORGE W BUSH,REPUBLICAN PARTY,193657728.8,186455991.55,7201734.18,GEORGEWBUSH2000
1,2000,P80000912,AL GORE,DEMOCRATIC PARTY,133108037.0,120335203.0,12772827.0,ALGORE2000
2,2000,P60003852,STEVE FORBES,REPUBLICAN PARTY,86048573.0,86054768.0,0.0,STEVEFORBES2000
3,2000,P80002801,JOHN S MCCAIN,REPUBLICAN PARTY,58636230.0,58549970.0,86262.0,JOHNSMCCAIN2000
4,2000,P80000516,BILL BRADLEY,DEMOCRATIC PARTY,51156171.0,50421409.0,775203.0,BILLBRADLEY2000
5,2000,P80000805,PATRICK J BUCHANAN,REPUBLICAN PARTY,30981284.44,36786313.78,487327.35,PATRICKJBUCHANAN2000
6,2000,P60003076,ALAN LEE KEYES,REPUBLICAN PARTY,16074647.0,15643239.0,515079.0,ALANLEEKEYES2000
7,2000,P00003491,GARY L BAUER,REPUBLICAN PARTY,14101677.66,13870884.39,54232.91,GARYLBAUER2000
8,2000,P20000527,RALPH NADER,UNKNOWN,9890460.44,9196716.74,153824.6,RALPHNADER2000
9,2000,P80002587,DAN QUAYLE,REPUBLICAN PARTY,7888000.0,7568411.0,319584.0,DANQUAYLE2000
10,2000,P00003319,ELIZABETH DOLE,REPUBLICAN PARTY,5461958.0,5462020.0,0.0,ELIZABETHDOLE2000
11,2000,P60000452,LYNDON H JR LAROUCHE,DEMOCRATIC PARTY,5036786.0,5050246.0,54499.0,LYNDONHJRLAROUCHE2000
12,2000,P60003225,ANDREW LAMAR ALEXANDER,REPUBLICAN PARTY,3664929.0,4761297.0,97979.0,ANDREWLAMARALEXANDER2000
13,2000,P60003670,JOHN R KASICH,REPUBLICAN PARTY,3252784.0,2671388.0,581393.0,JOHNRKASICH2000
14,2000,P00003806,ORRIN GRANT HATCH,REPUBLICAN PARTY,2647890.0,2622995.0,30225.0,ORRINGRANTHATCH2000
15,2000,P60003043,HARRY BROWNE,LIBERTARIAN PARTY,2531437.0,2533241.0,308.0,HARRYBROWNE2000
16,2000,P20001681,JOHN SAMUEL HAGELIN,UNKNOWN,2295582.0,2298562.0,676.0,JOHNSAMUELHAGELIN2000
